description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
New England : other,thousand megawatthours,ELEC.GEN.OTH-NEW-99.A,2110,2621,2141,2194,1915,1937,1847,1856,1871,1867,2019,2153,2049,1937,1814,1866,1818,1729,1881,1885,1820,1754,1686,--,--
New England : all solar,thousand megawatthours,ELEC.GEN.TSN-NEW-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,1175,1702,2467,3164,4204,4767,5803,6769,9138,10294,--,--
New England : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-NEW-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,823,1171,1760,2217,2972,3255,3776,4298,5791,6717,--,--
New England : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-NEW-99.A,--,--,--,--,--,--,--,0,0,1,7,35,126,351,531,707,947,1232,1511,2027,2471,3346,3577,--,--
New England : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NEW-99.A,--,--,--,--,--,--,--,0,0,1,7,35,124,350,531,707,947,1232,1511,2027,2471,3346,3577,--,--
New England : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NEW-99.A,--,--,--,--,--,--,--,--,--,--,--,--,2,2,--,--,--,--,--,--,--,--,--,--,--
Connecticut,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-CT-99.A,30491,31311,29545,32633,33550,34682,33171,30409,31206,33350,33745,36118,35611,33677,37471,36497,34563,39454,40050,41191,44080,43054,40666,44761,43551
Connecticut : coal,thousand megawatthours,ELEC.GEN.COW-CT-99.A,3736,3227,4200,4255,3996,4282,3739,4387,2453,2604,526,653,681,825,600,177,198,330,53,-19,245,0,0,0,0
Connecticut : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-CT-99.A,5173,2338,2063,1740,3156,1279,1311,514,299,409,166,112,306,513,437,92,178,339,12,33,46,314,124,20,244
Connecticut : petroleum coke,thousand megawatthours,ELEC.GEN.PC-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0
Connecticut : natural gas,thousand megawatthours,ELEC.GEN.NG-CT-99.A,4088,8868,5062,8108,8864,10484,9930,8070,9809,11716,15188,16537,15780,14684,17362,17952,15961,20006,21343,23537,24489,24531,24952,26036,24460
Connecticut : other gases,thousand megawatthours,ELEC.GEN.OOG-CT-99.A,1,9,0,0,2,2,2,0,0,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Connecticut : nuclear,thousand megawatthours,ELEC.GEN.NUC-CT-99.A,15428,14918,16078,16539,15562,16589,16386,15433,16657,16750,15928,17078,17080,15841,17411,16575,16500,16881,16733,15715,17217,16464,13669,16870,16709
Connecticut : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-CT-99.A,286,335,564,463,478,544,363,556,510,391,567,312,402,434,302,224,332,555,428,326,478,312,465,369,342
Connecticut : other renewables,thousand megawatthours,ELEC.GEN.AOR-CT-99.A,909,821,786,758,753,763,730,734,759,740,660,667,652,769,805,893,845,873,900,1008,1035,940,1022,1038,1361
Connecticut : wind,thousand megawatthours,ELEC.GEN.WND-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13,13,12,12,12,13,13,10,10,12
Connecticut : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,0,12,17,25,40,106,138,214,265,413,421,476,758
