description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
East South Central : other biomass,thousand megawatthours,ELEC.GEN.WAS-ESC-99.A,60,64,91,130,153,174,170,184,159,136,144,183,220,247,231,245,268,243,244,258,254,237,200,--,--
East South Central : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-ESC-99.A,-734,-696,-729,-818,-598,-668,-704,-739,-650,-721,-660,-163,-42,-491,-531,-704,-686,-620,-615,-721,-577,-491,-554,--,--
East South Central : other,thousand megawatthours,ELEC.GEN.OTH-ESC-99.A,15,128,55,51,58,63,29,35,400,393,396,235,18,69,78,75,68,72,58,74,77,58,92,--,--
East South Central : all solar,thousand megawatthours,ELEC.GEN.TSN-ESC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,105,155,242,509,1034,1240,1336,1497,2342,3199,--,--
East South Central : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-ESC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,78,78,120,130,144,162,169,193,219,248,--,--
East South Central : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-ESC-99.A,--,--,--,--,--,--,--,--,--,--,--,12,20,27,76,122,379,890,1079,1166,1303,2122,2950,--,--
East South Central : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-ESC-99.A,--,--,--,--,--,--,--,--,--,--,--,12,20,27,76,122,379,890,1079,1166,1303,2122,2950,--,--
East South Central : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-ESC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Alabama,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-AL-99.A,125345,132921,137487,137355,137949,140895,143826,145870,143256,152151,156339,152879,150573,149340,152477,142385,139964,145058,142679,137547,142733,144789,139435,142921,142038
Alabama : coal,thousand megawatthours,ELEC.GEN.COW-AL-99.A,72198,72042,76696,74832,78128,78109,77994,74605,55609,63050,56807,45607,47050,47302,41410,34258,31440,31778,26655,21730,26901,25944,19182,20936,21662
Alabama : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-AL-99.A,435,312,337,295,333,180,157,204,219,200,120,110,74,98,84,46,36,66,20,13,22,41,25,12,17
Alabama : petroleum coke,thousand megawatthours,ELEC.GEN.PC-AL-99.A,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0
Alabama : natural gas,thousand megawatthours,ELEC.GEN.NG-AL-99.A,9613,15904,12244,15977,13869,19407,23232,22363,31617,39235,47681,55705,46586,48270,55844,57804,52984,58800,57197,55230,54448,62217,61848,64599,64819
Alabama : other gases,thousand megawatthours,ELEC.GEN.OOG-AL-99.A,189,113,170,182,107,131,178,204,135,277,292,178,268,180,36,24,9,5,3,0,0,0,0,0,NM
Alabama : nuclear,thousand megawatthours,ELEC.GEN.NUC-AL-99.A,30357,31857,31677,31636,31694,31911,34325,38993,39716,37941,39356,40841,40816,41244,41951,39902,42652,39463,43657,43551,46036,42314,45579,44487,42673
Alabama : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-AL-99.A,8356,8825,12665,10626,10145,7252,4136,6136,12535,8704,8884,7435,12899,9467,9862,6985,9237,11143,11405,13349,11521,10188,8430,8357,8276
Alabama : other renewables,thousand megawatthours,ELEC.GEN.AOR-AL-99.A,4189,3746,3673,3779,3647,3884,3801,3357,3050,2377,2817,2777,2876,2779,3289,3367,3606,3804,3742,3675,3805,4085,4371,4522,4590
Alabama : wind,thousand megawatthours,ELEC.GEN.WND-AL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Alabama : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-AL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31,181,357,385,369,494,895,1201,1255,1332
Alabama : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-AL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31,181,357,385,369,494,895,1201,1255,1332
Alabama : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-AL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Alabama : geothermal,thousand megawatthours,ELEC.GEN.GEO-AL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Alabama : biomass,thousand megawatthours,ELEC.GEN.BIO-AL-99.A,4189,3746,3673,3779,3647,3884,3801,3357,3050,2377,2817,2777,2876,2779,3289,3335,3426,3446,3357,3306,3311,3190,3171,3267,3258
Alabama : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-AL-99.A,4172,3727,3649,3756,3630,3865,3784,3324,3035,2365,2807,2769,2854,2732,3246,3297,3384,3409,3317,3269,3267,3147,3129,3230,3222
Alabama : other biomass,thousand megawatthours,ELEC.GEN.WAS-AL-99.A,17,18,24,23,16,19,17,34,14,12,10,8,21,47,44,38,41,38,40,37,44,43,41,37,36
Alabama : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-AL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Alabama : other,thousand megawatthours,ELEC.GEN.OTH-AL-99.A,8,123,26,28,25,21,4,8,374,366,383,227,3,NM,0,0,0,0,0,0,0,0,0,7,0
Alabama : all solar,thousand megawatthours,ELEC.GEN.TSN-AL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,3,3,39,189,368,399,384,513,916,1223,1282,1363
Alabama : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-AL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,3,3,8,8,11,14,15,19,22,22,27,31
Alabama : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-AL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31,181,357,385,369,494,895,1201,1255,1332
Alabama : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-AL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31,181,357,385,369,494,895,1201,1255,1332
Alabama : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-AL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kentucky,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-KY-99.A,95418,92107,91719,94530,97822,98792,97225,97863,90630,98218,98351,89950,89741,90896,83544,80274,73179,78804,71804,63540,69908,69147,63217,66951,73758
Kentucky : coal,thousand megawatthours,ELEC.GEN.COW-KY-99.A,90799,83274,84061,86121,89083,91198,90483,91621,84038,91054,91656,82762,83303,83602,72620,66822,57237,59168,51714,43638,49863,47053,43447,44829,48688
Kentucky : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-KY-99.A,124,174,150,121,118,96,119,131,127,123,139,107,107,120,113,88,71,70,50,57,66,80,61,58,76
Kentucky : petroleum coke,thousand megawatthours,ELEC.GEN.PC-KY-99.A,--,2895,2795,3500,3563,3245,2673,2743,1890,2162,1596,1429,1302,1033,964,1130,427,0,0,0,0,18,0,0,0
Kentucky : natural gas,thousand megawatthours,ELEC.GEN.NG-KY-99.A,630,1374,444,580,1654,1177,1796,979,878,1841,1546,2949,1418,2500,5950,8228,10380,14615,15341,14384,14572,16918,15090,17267,19089
Kentucky : other gases,thousand megawatthours,ELEC.GEN.OOG-KY-99.A,--,--,0,2,5,4,5,4,4,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kentucky : nuclear,thousand megawatthours,ELEC.GEN.NUC-KY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kentucky : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-KY-99.A,3856,4025,3948,3780,2961,2592,1669,1917,3318,2580,2969,2362,3275,3144,3403,3478,4506,4418,4232,5005,4876,4530,3955,4114,3889
Kentucky : other renewables,thousand megawatthours,ELEC.GEN.AOR-KY-99.A,10,365,299,411,421,459,466,460,364,440,436,333,327,448,441,477,515,470,419,390,461,494,573,671,1982
Kentucky : wind,thousand megawatthours,ELEC.GEN.WND-KY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kentucky : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-KY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,20,39,45,43,46,47,155,277,1577
Kentucky : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-KY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,20,39,45,43,46,47,155,277,1577
Kentucky : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-KY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kentucky : geothermal,thousand megawatthours,ELEC.GEN.GEO-KY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kentucky : biomass,thousand megawatthours,ELEC.GEN.BIO-KY-99.A,10,365,299,411,421,459,466,460,364,440,436,333,327,448,441,465,495,431,374,347,415,448,418,394,405
Kentucky : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-KY-99.A,10,365,298,349,358,369,370,351,263,349,341,237,228,354,349,360,380,329,276,233,300,343,329,296,311
Kentucky : other biomass,thousand megawatthours,ELEC.GEN.WAS-KY-99.A,--,--,1,62,63,89,95,109,101,91,95,96,98,94,92,105,114,102,98,114,115,105,89,98,94
Kentucky : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-KY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kentucky : other,thousand megawatthours,ELEC.GEN.OTH-KY-99.A,--,--,22,16,17,22,16,9,13,15,9,8,9,50,52,50,45,64,47,64,70,54,91,12,33
Kentucky : all solar,thousand megawatthours,ELEC.GEN.TSN-KY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,13,14,32,45,71,85,94,115,148,286,438,1758
Kentucky : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-KY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,13,14,20,25,32,40,51,69,101,131,161,181
Kentucky : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-KY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,20,39,45,43,46,47,155,277,1577
Kentucky : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-KY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,20,39,45,43,46,47,155,277,1577
Kentucky : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-KY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mississippi,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-MS-99.A,53446,42889,40148,43663,45067,46229,50044,48206,48701,54487,51571,54584,52810,55127,64758,62881,59728,63474,65959,66582,67723,67781,72933,77337,78128
Mississippi : coal,thousand megawatthours,ELEC.GEN.COW-MS-99.A,19196,14853,17083,17478,16636,18105,17407,16683,12958,13629,9723,7212,8701,10743,6400,5342,4628,5280,4414,4594,5531,5651,4037,3334,4181
Mississippi : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-MS-99.A,5144,30,1632,2777,1445,399,399,76,17,81,36,17,14,14,14,18,11,27,14,8,8,9,7,9,10
Mississippi : petroleum coke,thousand megawatthours,ELEC.GEN.PC-MS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mississippi : natural gas,thousand megawatthours,ELEC.GEN.NG-MS-99.A,17751,16971,9477,11619,15360,15706,21335,20607,23267,29619,29966,38550,31777,32606,45117,50095,46158,49482,48781,53662,48621,51719,55168,60026,57755
Mississippi : other gases,thousand megawatthours,ELEC.GEN.OOG-MS-99.A,0,38,32,41,20,44,42,40,25,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mississippi : nuclear,thousand megawatthours,ELEC.GEN.NUC-MS-99.A,9924,10059,10902,10233,10078,10419,9359,9397,10999,9643,10337,7296,10865,10252,11715,5897,7365,6919,11033,6471,11772,8600,11750,10653,11493
Mississippi : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-MS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mississippi : other renewables,thousand megawatthours,ELEC.GEN.AOR-MS-99.A,1432,937,1022,1514,1522,1541,1493,1391,1424,1504,1506,1509,1448,1508,1507,1524,1563,1765,1718,1847,1791,1801,1972,3319,4701
Mississippi : wind,thousand megawatthours,ELEC.GEN.WND-MS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,347,500
Mississippi : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-MS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,86,326,322,430,425,504,633,1691,2875
Mississippi : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,86,326,322,430,425,504,633,1691,2875
Mississippi : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mississippi : geothermal,thousand megawatthours,ELEC.GEN.GEO-MS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mississippi : biomass,thousand megawatthours,ELEC.GEN.BIO-MS-99.A,1432,937,1022,1514,1522,1541,1493,1391,1424,1504,1506,1509,1448,1508,1507,1524,1477,1439,1395,1417,1367,1297,1339,1281,1326
Mississippi : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-MS-99.A,1432,937,1015,1511,1516,1535,1488,1386,1417,1503,1503,1493,1433,1491,1493,1513,1462,1423,1378,1402,1354,1288,1331,1273,1319
Mississippi : other biomass,thousand megawatthours,ELEC.GEN.WAS-MS-99.A,0,0,7,3,5,6,5,5,7,1,3,16,15,17,13,11,15,17,17,16,12,10,8,8,7
Mississippi : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-MS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mississippi : other,thousand megawatthours,ELEC.GEN.OTH-MS-99.A,0,0,0,2,7,16,7,10,12,9,3,0,5,4,6,5,2,0,0,0,0,0,0,-4,-13
Mississippi : all solar,thousand megawatthours,ELEC.GEN.TSN-MS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,2,2,6,96,337,336,445,441,526,656,1721,2908
Mississippi : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-MS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,2,2,6,11,11,14,15,16,22,23,30,33
Mississippi : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-MS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,86,326,322,430,425,504,633,1691,2875
Mississippi : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,86,326,322,430,425,504,633,1691,2875
Mississippi : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Tennessee,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-TN-99.A,96222,96114,92222,97595,97117,93911,95113,90663,79717,82349,81104,77724,79652,79507,75215,79341,79046,81555,82327,80566,79057,78036,77791,76167,74671
Tennessee : coal,thousand megawatthours,ELEC.GEN.COW-TN-99.A,59730,59706,54921,58060,59051,60498,60237,57058,41633,43670,40777,35419,32486,35875,30586,31168,27715,20967,18692,14245,18260,15886,15793,17435,18035
Tennessee : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-TN-99.A,400,270,406,191,231,160,232,216,187,217,195,144,130,185,135,122,124,130,140,108,103,147,102,121,125
Tennessee : petroleum coke,thousand megawatthours,ELEC.GEN.PC-TN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Tennessee : natural gas,thousand megawatthours,ELEC.GEN.NG-TN-99.A,456,470,627,292,531,664,722,467,409,2302,3259,8075,5017,6200,9324,11319,10268,13399,16955,15668,13986,16521,15030,16483,17550
Tennessee : other gases,thousand megawatthours,ELEC.GEN.OOG-TN-99.A,18,12,3,13,15,14,13,12,12,13,17,13,13,13,12,15,12,11,12,11,11,11,11,12,10
Tennessee : nuclear,thousand megawatthours,ELEC.GEN.NUC-TN-99.A,28576,27574,24153,28612,27803,24679,28700,27030,26962,27739,26919,25102,28494,27670,24960,29578,31818,36176,35720,36688,35330,35635,37937,32186,29333
Tennessee : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-TN-99.A,6947,7974,12004,10408,9310,7749,4940,5646,10212,8138,9576,8296,12443,8901,9581,6774,8691,10293,10130,13452,10871,9198,8042,8911,8367
Tennessee : other renewables,thousand megawatthours,ELEC.GEN.AOR-TN-99.A,822,800,830,830,766,811,971,965,950,988,1020,836,1110,1141,1126,1050,1083,1191,1283,1104,1066,1126,1430,1589,1788
Tennessee : wind,thousand megawatthours,ELEC.GEN.WND-TN-99.A,--,4,4,4,3,55,50,50,52,41,53,47,47,51,46,38,43,41,38,39,28,15,16,13,0
Tennessee : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-TN-99.A,--,--,--,--,--,--,--,--,--,--,--,12,20,27,76,79,92,168,326,325,339,677,961,1104,1310
Tennessee : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-TN-99.A,--,--,--,--,--,--,--,--,--,--,--,12,20,27,76,79,92,168,326,325,339,677,961,1104,1310
Tennessee : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-TN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Tennessee : geothermal,thousand megawatthours,ELEC.GEN.GEO-TN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Tennessee : biomass,thousand megawatthours,ELEC.GEN.BIO-TN-99.A,822,796,826,826,763,756,921,915,899,947,967,777,1043,1062,1004,933,948,982,919,740,700,434,452,471,478
Tennessee : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-TN-99.A,779,751,767,784,695,698,868,879,862,914,930,715,958,973,922,843,851,895,830,650,617,355,390,380,383
Tennessee : other biomass,thousand megawatthours,ELEC.GEN.WAS-TN-99.A,43,45,59,42,68,58,52,36,36,33,36,62,85,90,82,91,97,87,88,90,82,79,62,92,95
Tennessee : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-TN-99.A,-734,-696,-729,-818,-598,-668,-704,-739,-650,-721,-660,-163,-42,-491,-531,-704,-686,-620,-615,-721,-577,-491,-554,-571,-538
Tennessee : other,thousand megawatthours,ELEC.GEN.OTH-TN-99.A,7,6,7,6,9,5,3,8,1,3,1,1,1,14,21,20,21,8,10,10,7,4,0,0,0
Tennessee : all solar,thousand megawatthours,ELEC.GEN.TSN-TN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,87,136,164,179,258,420,413,427,752,1034,1191,1395
Tennessee : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-TN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,60,60,86,87,90,94,89,89,75,72,86,85
Tennessee : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-TN-99.A,--,--,--,--,--,--,--,--,--,--,--,12,20,27,76,79,92,168,326,325,339,677,961,1104,1310
Tennessee : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-TN-99.A,--,--,--,--,--,--,--,--,--,--,--,12,20,27,76,79,92,168,326,325,339,677,961,1104,1310
Tennessee : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-TN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
West South Central,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
West South Central : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-WSC-99.A,562916,587395,585113,601129,605688,614288,625486,628620,620686,647831,676881,676122,669387,673607,689334,700416,685020,734662,734205,712298,722414,781608,797511,--,--
West South Central : coal,thousand megawatthours,ELEC.GEN.COW-WSC-99.A,216448,222961,230059,231697,230791,230002,230512,233661,221308,233724,246421,217243,232137,230521,183326,176203,190618,168412,130375,104102,129356,122825,98491,--,--
West South Central : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-WSC-99.A,4730,655,3181,2945,2377,672,715,471,337,285,257,173,198,192,257,156,158,136,147,126,308,388,250,--,--
West South Central : petroleum coke,thousand megawatthours,ELEC.GEN.PC-WSC-99.A,2578,3040,2723,3295,3025,3213,3100,2954,3024,3767,5498,4385,5749,5359,4299,4919,4640,4425,3261,3515,3976,3185,1082,--,--
West South Central : natural gas,thousand megawatthours,ELEC.GEN.NG-WSC-99.A,251134,269986,259469,263279,276429,282067,284954,280827,278922,284637,300606,328607,298504,297097,353095,347156,311278,364689,392283,380547,351568,390476,428273,--,--
West South Central : other gases,thousand megawatthours,ELEC.GEN.OOG-WSC-99.A,2083,4621,8732,6737,5187,5409,5435,4512,4876,4852,4682,4246,4646,4249,4980,4613,4615,5124,4744,4342,4009,4312,4132,--,--
West South Central : nuclear,thousand megawatthours,ELEC.GEN.NUC-WSC-99.A,70280,67482,64253,72965,67598,73232,73519,70266,73450,74997,70458,69593,67215,71077,68493,72652,66682,71059,68854,73451,71016,72095,67864,--,--
West South Central : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-WSC-99.A,6825,7439,6242,9020,7856,3549,8774,10575,10010,8838,6072,4608,6357,5544,8189,8588,6948,7350,10879,9668,8987,6774,6178,--,--
West South Central : other renewables,thousand megawatthours,ELEC.GEN.AOR-WSC-99.A,6628,8610,9210,9846,11095,14513,17020,24412,27983,35957,42213,46628,53653,58681,65190,84653,98966,112403,122620,135547,152219,180499,190432,--,--
West South Central : wind,thousand megawatthours,ELEC.GEN.WND-WSC-99.A,1188,2656,2624,3710,5085,8383,10856,18583,22724,30059,36153,40372,47036,51942,58864,77600,90660,103039,112629,121858,132015,152340,156867,--,--
West South Central : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-WSC-99.A,0,--,--,--,--,--,--,--,--,8,29,118,163,282,403,762,2255,3472,4637,8912,15606,23456,29317,--,--
West South Central : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-WSC-99.A,--,--,--,--,--,--,--,--,--,8,29,115,163,282,403,762,2255,3472,4637,8912,15606,23456,29317,--,--
West South Central : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-WSC-99.A,--,--,--,--,--,--,--,--,--,--,--,3,--,--,--,--,--,--,--,--,--,--,--,--,--
West South Central : geothermal,thousand megawatthours,ELEC.GEN.GEO-WSC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
